pitcher,year,pitcher.hand,count.coors,mean.pfx_x.coors,mean.pfx_z.coors,mean.displacement.coors,count.other,mean.pfx_x.other,mean.pfx_z.other,mean.displacement.other
500779,2017,L,32,0.48623125,-0.160271875,0.511964747,860,0.912090349,-0.211966047,0.936396502
643327,2017,R,75,0.474692,-0.337941333,0.582697897,793,0.154326103,-0.816051198,0.830515565
605400,2017,R,39,1.512158974,-0.486971795,1.588636614,781,1.606320743,-0.686584507,1.746901432
425794,2017,R,32,1.318675,-0.74476875,1.5144584,532,1.309586842,-1.094382331,1.706660594
444857,2017,R,25,1.137092,-0.1863,1.152252536,480,1.174709375,-0.159909167,1.18554336
477132,2017,L,32,0.136365625,-0.781384375,0.793194254,380,0.079236316,-1.139110263,1.14186277
608566,2017,R,309,0.752676052,-0.405298706,0.854861556,363,0.594612397,-0.72795978,0.939941138
592836,2017,R,28,0.771,-0.447857143,0.89163727,315,0.908437143,-0.847866667,1.24263266
547943,2017,L,27,0.786981481,-0.64352963,1.016597382,313,0.9447377,-0.905894249,1.30888262
571927,2017,L,26,0.272469231,-0.225284615,0.353542981,246,0.819412602,-0.662080894,1.053464818
592351,2017,R,79,0.643905063,-0.348001266,0.73192801,173,0.603894798,-0.672479769,0.903835143
608717,2017,R,28,1.250342857,-0.522353571,1.355068454,165,1.463604848,-0.685155758,1.616037612
543475,2017,R,100,0.322548,-0.437994,0.54394481,157,0.171755414,-0.652121656,0.674360865
543022,2017,R,111,0.682114414,-0.834458559,1.077776025,148,0.603688435,-1.230634014,1.370729661
656546,2017,R,162,0.983172222,-0.873275309,1.315004708,123,0.886496748,-1.258682114,1.53953147
448179,2018,L,40,1.1019775,-0.8757425,1.407579247,718,1.505147354,-1.141723259,1.889179864
450203,2018,R,26,1.306153846,-0.813215385,1.538621829,760,1.489214605,-0.925631316,1.753440468
518452,2018,R,128,0.772538281,-0.403214063,0.871433862,113,0.914910619,-0.331741593,0.973197784
518516,2018,L,35,0.509008571,-0.405245714,0.65062571,431,0.809247564,-0.518424362,0.961064742
542881,2018,L,30,0.15695,-0.64283,0.661712711,77,0.409371429,-0.917358442,1.004555363
592351,2018,R,222,0.471745045,-0.487947748,0.678701991,188,0.535153723,-0.550080851,0.767449315
597113,2018,R,36,0.348608333,-0.727322222,0.806551539,13,0.633830769,-0.920307692,1.117455902
605446,2018,R,25,0.895988,-0.87222,1.250424818,325,1.03208,-0.936977846,1.393957177
605498,2018,L,27,0.443955556,-0.518455556,0.682563329,305,0.751892105,-0.734615132,1.051190339
607536,2018,L,56,0.118864286,0.030225,0.122646928,91,0.262646154,0.002016484,0.262653895
608566,2018,R,343,0.440561808,-0.613847813,0.755581792,375,0.562756533,-0.674038933,0.878079381
622608,2018,R,64,0.6582625,-0.438067188,0.790703724,62,0.913929032,-0.454693548,1.020790135
664192,2018,L,60,0.01227,-0.074113333,0.075122161,676,0.173002663,-0.096463609,0.198078644
